Number of I-485 Applications to Register Permanent Residence or Adjust Status,,,,,,,,,,,,,,,,,,,,,
"By Category, Case Status, and USCIS Field Office or Service Center Location",,,,,,,,,,,,,,,,,,,,,
"April 1, 2023 - June 30, 2023",,,,,,,,,,,,,,,,,,,,,
USCIS Field Office or Service Center Location,,Applications by Category of Admission and Case Status,,,,,,,,,,,,,,,,,,,
,,Family-based1,Family-based1,Family-based1,Family-based1,Employment-based received at service center2,Employment-based received at service center2,Employment-based received at service center2,Employment-based received at service center2,Humanitarian-based3,Humanitarian-based3,Humanitarian-based3,Humanitarian-based3,Others4,Others4,Others4,Others4,Total,Total,Total,Total
Field Office by State9,Field Office Code,Applications Received5,Approved6,Denied7,Pending8,Applications Received5,Approved6,Denied7,Pending8,Applications Received5,Approved6,Denied7,Pending8,Applications Received5,Approved6,Denied7,Pending8,Applications Received5,Approved6, Denied7, Pending8
Seattle ,SEA,"1,653","1,703",101,"6,784",777,510,32,"5,311",424,14,D,"1,292",118,142,D,498,"2,972","2,369",140,"13,885"
Spokane ,SPO,101,169,15,439,24,133,D,145,54,396,10,617,10,27,D,31,189,725,33,"1,232"
Yakima,YAK,198,275,23,949,D,155,-,196,56,D,D,141,11,D,-,13,274,436,25,"1,299"
West Virginia,,,,,,,,,,,,,,,,,,,,,
Charleston ,CHS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Wisconsin,,,,,,,,,,,,,,,,,,,,,
Milwaukee ,MIL,514,551,20,"2,454",70,24,D,787,148,17,D,528,46,13,-,182,778,605,29,"3,951"
Guam,,,,,,,,,,,,,,,,,,,,,
Agana,AGA,92,139,D,499,21,50,D,172,-,47,D,85,-,-,-,D,113,236,D,757
U.S. Virgin Islands,,,,,,,,,,,,,,,,,,,,,
Charlotte Amalie,CHA,24,192,11,240,-,62,D,151,D,151,D,157,-,-,-,-,26,405,24,548
Christiansted ,CHR,D,-,D,25,D,-,-,D,-,-,-,-,-,-,-,-,D,-,D,27
Puerto Rico,,,,,,,,,,,,,,,,,,,,,
San Juan ,SAJ,195,286,11,"1,004",D,238,D,190,12,249,D,424,-,-,-,D,215,773,16,"1,624"
Service Center,,,,,,,,,,,,,,,,,,,,,
 California , WSC ,D,-,-,65,893,423,55,"1,793",-,-,-,D,-,-,-,D,895,423,55,"1,874"
 National Benefits Center , NBC ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
 Nebraska , NSC ,"13,076",-,D,"1,360","5,609",95,538,"14,611",23,166,57,530,"5,483","4,044",193,"9,415","24,191","4,305",792,"25,916"
 Potomac , YSC ,-,-,-,24,-,-,-,D,-,-,-,18,-,-,-,D,-,-,-,56
 Texas , SSC ,D,D,-,52,"4,891",31,769,"21,326",D,76,12,854,D,D,D,43,"4,901",113,784,"22,275"
 Vermont , ESC ,41,D,607,"73,453",-,-,D,305,-,D,D,271,75,"2,177",253,"18,800",116,"2,192",864,"92,829"
Table Key:,,,,,,,,,,,,,,,,,,,,,
D  Disclosure standards not met,,,,,,,,,,,,,,,,,,,,,
- Represents zero or rounds to 0.0,,,,,,,,,,,,,,,,,,,,,
References:,,,,,,,,,,,,,,,,,,,,,
1 Family-based applications for lawful permanent resident (LPR) status are based on a familial relationship with an LPR or a U.S. citizen.  ,,,,,,,,,,,,,,,,,,,,,
"2 Employment-based applications are for purposes of employment or, in the case of entrepreneurs/investor, based on an investment in a new commercial enterprise.",,,,,,,,,,,,,,,,,,,,,
"3 Humanitarian-based applications include asylee, refugee, Indo Chinese, and Cuban refugee.",,,,,,,,,,,,,,,,,,,,,
"4 Others includes all other I-485 applications, to include those filed under the Haitian Refugee Immigration Fairness Act (HRIFA) program and the Creation of Record for North American Indians born in Canada based on Section 289 of the Immigration and Nationality Act (INA).",,,,,,,,,,,,,,,,,,,,,
5 The number of new applications received and entered into a case-tracking system during the reporting period.,,,,,,,,,,,,,,,,,,,,,
6 The number of applications approved during the reporting period.,,,,,,,,,,,,,,,,,,,,,
7 The number of applications denied during the reporting period.,,,,,,,,,,,,,,,,,,,,,
8  The number of applications awaiting a decision as of the end of the reporting period. Some actions taken on cases are not reflected in this report such as administrative closures and transfers between offices; thus the total pending counts cannot be calculated using data from previous reporting periods.,,,,,,,,,,,,,,,,,,,,,
9 Represents the office location. The office location does not reflect the complete area covered by the office’s jurisdiction. Please refer to USCIS.gov for office jurisdictions.,,,,,,,,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,,,,,,,,
"1) Some applications approved, denied, or pending a decision may have been received in previous reporting periods.",,,,,,,,,,,,,,,,,,,,,
2) The report reflects the most up-to-date estimate available at the time the database is queried.,,,,,,,,,,,,,,,,,,,,,
3) Counts may differ from previous periods due to system updates and post-adjudicative outcomes.  ,,,,,,,,,,,,,,,,,,,,,
"4) For a complete list of USCIS forms and descriptions, visit https://www.uscis.gov/forms",,,,,,,,,,,,,,,,,,,,,
Source:,,,,,,,,,,,,,,,,,,,,,
"Department of Homeland Security, U.S. Citizenship and Immigration Services, Office of Performance and Quality",,,,,,,,,,,,,,,,,,,,,
"NPD, queried 07/2023, TRK 12296",,,,,,,,,,,,,,,,,,,,,
